Subject ID,Data Type,Class,mean,variance,min,max
F001,BP Dia_mmHg,No Pain,37.45749990523893,18.31801655575405,30.1804,46.2806
F001,EDA_microsiemens,No Pain,3.9094147890438156,0.03105830532641872,3.5675,4.31366
F001,LA Systolic BP_mmHg,No Pain,103.80967814629304,14.792357228198826,95.7038,112.07
F001,Respiration Rate_BPM,No Pain,14.52098598619196,18.802683062824837,7.66186,19.98
F001,BP Dia_mmHg,Pain,48.86400694459562,336.93051205798577,0,80.9625
F001,EDA_microsiemens,Pain,1.8792619080397162,6.97222530724523,-0.010682,7.25098
F001,LA Systolic BP_mmHg,Pain,95.30687071949494,333.8569930637538,0,123.621
F001,Respiration Rate_BPM,Pain,16.49889657124197,23.285758577470276,6.5388,19.9468
F002,BP Dia_mmHg,No Pain,103.00501420245219,63.060092034030646,0,121.464
F002,EDA_microsiemens,No Pain,0.05471260306621703,0.0013232429846011683,0.0152579,0.401305
F002,LA Systolic BP_mmHg,No Pain,123.07513333073429,20.9574262218327,0,127.963
F002,Respiration Rate_BPM,No Pain,13.45183787255609,8.504780927799521,6.85636,19.4238
F002,BP Dia_mmHg,Pain,64.78723746820678,38.33705736831066,0,82.7646
F002,EDA_microsiemens,Pain,0.16967171290521166,0.02078151207514688,0.0152579,1.16272
F002,LA Systolic BP_mmHg,Pain,103.46510219352957,73.68171534410529,0,123.68
F002,Respiration Rate_BPM,Pain,15.131588319860029,23.819758994047064,0,19.98
F003,BP Dia_mmHg,No Pain,74.74133326714586,1.9944715383638627,72.0597,77.4346
F003,EDA_microsiemens,No Pain,3.8917452940709265,0.03748566819855232,3.52478,4.33197
F003,LA Systolic BP_mmHg,No Pain,111.27434927127597,4.482839972484479,105.875,114.233
F003,Respiration Rate_BPM,No Pain,13.7168538902347,27.821899163391087,0,19.9933
F003,BP Dia_mmHg,Pain,66.83048640645586,15.315065112835518,55.0487,73.1524
F003,EDA_microsiemens,Pain,0.651218115909091,0.005150547441912618,0.537108,0.767516
F003,LA Systolic BP_mmHg,Pain,94.60834588603426,14.581988552935531,79.4429,100.854
F003,Respiration Rate_BPM,Pain,12.59453448748353,18.257122592898483,0,16.9109
F004,BP Dia_mmHg,No Pain,106.10668232249716,5.798063902991829,102.14,112.391
F004,EDA_microsiemens,No Pain,8.59423595471454,0.07487791633235742,8.25806,9.34296
F004,LA Systolic BP_mmHg,No Pain,130.0881070354197,5.867435148179448,126.216,134.724
F004,Respiration Rate_BPM,No Pain,14.3463162024907,8.244485987364275,9.62155,19.9867
F004,BP Dia_mmHg,Pain,71.52673730255164,1058.5335980343311,0,131.622
F004,EDA_microsiemens,Pain,6.759160608922062,0.15836733740270517,6.20422,7.75146
F004,LA Systolic BP_mmHg,Pain,106.18295582364173,2529.992586776697,0,222.995
F004,Respiration Rate_BPM,Pain,14.457892104495746,18.255303033323703,6.4921,18.8798
F005,BP Dia_mmHg,No Pain,88.38580322133703,2.850796134757023,85.1827,92.6272
F005,EDA_microsiemens,No Pain,6.930822023553862,0.07122557091518873,6.43158,7.59125
F005,LA Systolic BP_mmHg,No Pain,137.0487816764808,4.482548717687034,132.331,141.341
F005,Respiration Rate_BPM,No Pain,17.73783176653966,3.357304655186426,13.5563,19.9933
F005,BP Dia_mmHg,Pain,82.14120817428186,23.027117926417766,67.7827,92.2136
F005,EDA_microsiemens,Pain,3.405741267270741,0.5010099809553691,2.84729,6.2973
F005,LA Systolic BP_mmHg,Pain,120.40866595977123,22.28136837190746,106.335,127.841
F005,Respiration Rate_BPM,Pain,11.502979122003726,26.31518769690799,0,20
